DEBUG 2017-05-04 19:20:13,399 127705ms LoginController        Login              - ****************
DEBUG 2017-05-04 19:25:53,488 71159ms AdminController        Admin              - ****************
ERROR 2017-05-04 19:25:53,631 71302ms AdminController        Admin              - Exception of type 'System.Exception' was thrown.
DEBUG 2017-05-04 19:25:53,633 71304ms AdminController        Admin              -  Time Error Occured :5/4/2017 7:25:53 PM
DEBUG 2017-05-04 19:25:53,634 71305ms AdminController        Admin              - ****************
DEBUG 2017-05-04 19:37:06,306 18707ms AdminController        Admin              - ****************
ERROR 2017-05-04 19:37:06,387 18789ms AdminController        Admin              - Exception of type 'System.Exception' was thrown.
DEBUG 2017-05-04 19:37:06,389 18790ms AdminController        Admin              -  Time Error Occured :5/4/2017 7:37:06 PM
DEBUG 2017-05-04 19:37:06,390 18792ms AdminController        Admin              - ****************
DEBUG 2017-05-04 19:37:09,405 21807ms AdminController        Admin              - ****************
ERROR 2017-05-04 19:37:09,407 21808ms AdminController        Admin              - Exception of type 'System.Exception' was thrown.
DEBUG 2017-05-04 19:37:09,408 21809ms AdminController        Admin              -  Time Error Occured :5/4/2017 7:37:09 PM
DEBUG 2017-05-04 19:37:09,409 21810ms AdminController        Admin              - ****************
DEBUG 2017-05-05 15:47:57,296 280419ms AdminController        MyChart            - ****************
ERROR 2017-05-05 15:47:57,344 280467ms AdminController        MyChart            - Object reference not set to an instance of an object.
DEBUG 2017-05-05 15:47:57,344 280467ms AdminController        MyChart            -  Time Error Occured :5/5/2017 3:47:57 PM
DEBUG 2017-05-05 15:47:57,344 280467ms AdminController        MyChart            - ****************
DEBUG 2017-05-05 15:48:01,806 284929ms AdminController        Admin              - ****************
ERROR 2017-05-05 15:48:01,806 284929ms AdminController        Admin              - Exception of type 'System.Exception' was thrown.
DEBUG 2017-05-05 15:48:01,810 284933ms AdminController        Admin              -  Time Error Occured :5/5/2017 3:48:01 PM
DEBUG 2017-05-05 15:48:01,810 284933ms AdminController        Admin              - ****************
DEBUG 2017-05-05 15:48:18,221 301343ms AdminController        DispPie            - ****************
